name	n	mean_probe	sd_probe	median_probe	min_probe	max_probe	NORM_FACT	NF_sd
SF3B1_exon8	11	1.131	0.0784	1.1188	1.0093	1.3262	1.1188	0.0784
SF3B1_exon9	11	1.317	0.1261	1.3135	1.0757	1.5029	1.3135	0.1261
SGPP1_exon1	11	1.1457	0.0951	1.1534	0.9236	1.2621	1.1534	0.0951
SGPP1_exon2	11	1.0223	0.0915	0.9996	0.9148	1.2113	0.9996	0.0915
SGPP1_exon3	11	0.5903	0.1547	0.5439	0.3729	0.8057	0.5439	0.1547
SGPP1_exon4	11	0.1708	0.0896	0.1496	0.0755	0.3246	0.1496	0.0896
SNX7_exon1	11	0.0496	0.0267	0.0397	0.0225	0.1009	0.0397	0.0267
SNX7_exon10	11	1.4138	0.1479	1.4418	1.1979	1.6039	1.4418	0.1479
SNX7_exon11	11	1.1958	0.1205	1.2322	0.9234	1.3107	1.2322	0.1205
SNX7_exon2	11	0.2134	0.1004	0.1969	0.1083	0.3599	0.1969	0.1004
SNX7_exon3	11	1.0651	0.0733	1.0843	0.951	1.193	1.0843	0.0733
SNX7_exon4	11	1.264	0.2244	1.238	1.0031	1.5931	1.238	0.2244
SNX7_exon5	11	1.1442	0.1165	1.1733	0.8817	1.3016	1.1733	0.1165
SNX7_exon6	11	1.2246	0.196	1.2348	0.8844	1.5095	1.2348	0.196
SNX7_exon7	11	0.9852	0.0961	0.9924	0.8016	1.118	0.9924	0.0961
SNX7_exon8	11	1.1038	0.1226	1.1417	0.7725	1.2277	1.1417	0.1226
SNX7_exon9	11	1.211	0.1727	1.1958	0.9404	1.457	1.1958	0.1727
SP140_exon1	11	0.8487	0.045	0.8551	0.7928	0.9364	0.8551	0.045
SP140_exon10	11	0.7894	0.1115	0.7762	0.6397	0.9969	0.7762	0.1115
SP140_exon11	11	1.2112	0.1516	1.3054	1.0023	1.372	1.3054	0.1516
SP140_exon12	11	1.083	0.0721	1.0765	0.9958	1.1952	1.0765	0.0721
SP140_exon13	11	1.3196	0.0653	1.3228	1.1857	1.45	1.3228	0.0653
SP140_exon14	11	1.0461	0.063	1.0381	0.9207	1.1429	1.0381	0.063
